Routine                  Checksum
-----------------------------------
DSIO01                   45209926
DSIO02                   13205971
DSIO03                   68410873
DSIO04                   168392544
DSIO05                   133371105
DSIO1                    234744137
DSIO10                   122802433
DSIO11                   97307458
DSIO12                   17303375
DSIO13                   6464088
DSIO14                   24623475
DSIO15                   109055455
DSIO2                    54986362
DSIO3                    98312905
DSIO3P                   21094097
DSIO4                    87006559
DSIO5                    19121150
DSIO6                    90685352
DSIO61                   27958264
DSIO62                   19451444
DSIO63                   103438392
DSIO64                   39603248
DSIO65                   217687415
DSIO66                   26037036
DSIO67                   26127582
DSIO7                    126961385
DSIO8                    92331753
DSIO9                    73505703
DSIO99                   74249776
